PC1	PC2	GRP	ID
-0.00902095	0.00080897	SHD	SHD_4139
-0.00977653	0.00248923	SHD	SHD_4171
-0.0105211	0.00649577	SHD	SHD_4200
-0.0105174	0.00643259	SHD	SHD_4205
-0.00320555	0.00129348	SHD	SHD_4233
-0.00639136	0.0025056	SHD	SHD_4248
-0.00948013	0.00224774	SHD	SHD_4274
-0.00866098	0.004846	SHD	SHD_4320
-0.00616034	-0.00110397	SHD	SHD_4347
-0.00632146	0.000813428	SHD	SHD_4355
-0.0104919	0.00740475	SHD	SHD_4379
-0.0103948	0.00411861	SHD	SHD_4387
-0.00801347	-6.08731e-06	SHD	SHD_4450
-0.00703369	0.00514658	SHD	SHD_4451
-0.00680835	0.00465349	SHD	SHD_4506
-0.0073707	0.00247698	SHD	SHD_4566
-0.00978738	0.00735361	SHD	SHD_4621
-0.00978	0.00532965	SHD	SHD_4645
-0.0120186	0.00565309	SHD	SHD_4669
-0.0100695	-0.00131592	SHD	SHD_4681
-0.00647243	0.000608709	SHD	SHD_4686
-0.00289007	-0.00671052	SHD	SHD_4691
-0.0124748	0.00930046	SHD	SHD_4808
-0.00857549	0.000876426	SHD	SHD_4832
-0.0123874	0.00701881	SHD	SHD_4839
-0.00987176	0.000512823	SHD	SHD_4850
-0.0101775	0.00152718	SHD	SHD_4858
-0.00647695	-0.000250506	SHD	SHD_4920
-0.00781849	-7.89727e-05	SHD	SHD_4952
-0.00635766	0.00156056	SHD	SHD_4984
-0.0125283	0.00223905	SHD	SHD_5030
-0.00912443	0.00522544	SHD	SHD_5056
-0.00916206	0.00570467	SHD	SHD_5116
-0.0114587	0.00406689	SHD	SHD_5127
-0.010876	0.00719853	SHD	SHD_5140
-0.0117364	0.00815862	SHD	SHD_5152
-0.0100553	0.00115414	SHD	SHD_5179
-0.0086135	0.00130883	SHD	SHD_5185
-0.0095527	0.00213136	SHD	SHD_5236
-0.011151	0.00668146	SHD	SHD_5252
-0.00869762	0.0038091	SHD	SHD_5270
-0.00885975	0.00486821	SHD	SHD_5309
-0.00703555	0.00242676	SHD	SHD_5323
-0.0091984	0.00320309	SHD	SHD_5330
-0.00984388	0.00604942	SHD	SHD_5370
-0.0084963	0.00130305	SHD	SHD_5383
-0.0101354	0.00331003	SHD	SHD_5385
-0.00787786	-0.00011138	SHD	SHD_5402
-0.00999788	0.00469561	SHD	SHD_5424
-0.00520441	0.00454002	SHD	SHD_5426
-0.00356486	0.00397206	SHD	SHD_5429
-0.00369678	0.00625295	SHD	SHD_5431
-0.00779354	0.000999018	SHD	SHD_5438
-0.00556898	-0.00246095	SHD	SHD_5452
-0.00729858	0.00181012	SHD	SHD_5464
-0.00852943	0.0038077	SHD	SHD_5492
