ID,Parity,Herd,YearSeason,Sex,Dam,Birth_weight,Day_to_115kg,Backfat_thickness,Loin_muscle_area,Lean_percentage
SHD_1227,1,17,161,Female,SHD_364,1.55,179.45,13.65,41.43,55.22
SHD_947,4,12,171,Female,SHD_853,1.65,168.96,10.27,49.05,59.39
SHD_1263,3,9,171,Female,SHD_1262,1.6,172.84,10.37,43.06,57
SHD_1269,2,13,153,Female,SHD_667,1.56,175.91,15.85,46.95,56.62
SHD_1273,4,11,181,Male,SHD_1272,1.5,215.98,12.87,50.95,59.23
SHD_1277,2,11,162,Male,SHD_1276,2,183.27,10.46,38.71,55.26
SHD_1280,3,11,153,Female,SHD_1170,1.72,184.67,11.58,49.23,59
SHD_1283,1,17,174,Female,SHD_394,1.6,183.35,13.18,48.76,58.26
SHD_1291,2,14,181,Male,SHD_1290,1.15,207.79,11.02,40.3,55.69
SHD_1296,2,17,163,Male,SHD_1295,1.85,159.73,11.87,48.47,58.6
